bk	ck	命中词
FB2BAD1A4A4B0D0485199AFEF8B8BA22	C99470C1283BC3189EDB638A7D942DAA	反共
FB2BAD1A4A4B0D0485199AFEF8B8BA22	C9AB6575B20215D4DF01AD7B7AD4FAD4	反共
FB2BAD1A4A4B0D0485199AFEF8B8BA22	D0E696F228C625E8BBDC1938258F0D16	反共
FB2BAD1A4A4B0D0485199AFEF8B8BA22	D1B4AF53B9F1DF54AF194153DD30203C	反共
FB2BAD1A4A4B0D0485199AFEF8B8BA22	D41F401F2B279FD33FDBE813591180BF	反共
FB2BAD1A4A4B0D0485199AFEF8B8BA22	DDA3BD6AA6038D6CE6B9E11EAA3A8FB3	反共
FB2BAD1A4A4B0D0485199AFEF8B8BA22	DE6DB6B347560868DAACB12611BE7A7C	反共
FB2BAD1A4A4B0D0485199AFEF8B8BA22	E1F2AA64BD429ADB91E5502386F1E22E	反共
FB2BAD1A4A4B0D0485199AFEF8B8BA22	E3558509F03BF24E096551F980ADD72D	反共
FB2BAD1A4A4B0D0485199AFEF8B8BA22	E6E433D99829574730F3028C05C94363	反共
FB2BAD1A4A4B0D0485199AFEF8B8BA22	EB9818FD253BCE42D52FA2A7E7ADC6ED	反共
FB2BAD1A4A4B0D0485199AFEF8B8BA22	ECA216F1B3665BD3B29DADFE88D4CE54	反共
FB2BAD1A4A4B0D0485199AFEF8B8BA22	EDF87FD6221A2BD247D43CA3E556A330	反共
FB2BAD1A4A4B0D0485199AFEF8B8BA22	F0715D18B4B3E048A90A07229EDD7336	反共
FB2BAD1A4A4B0D0485199AFEF8B8BA22	F08D8CC081913D848B0EEB0731B88546	反共
FB2BAD1A4A4B0D0485199AFEF8B8BA22	F93E9DE3D59E078D6ACC2C56D813F2DE	反共
FB2BAD1A4A4B0D0485199AFEF8B8BA22	FAE189C2B641CCE557DF9BE79EB9CDC8	反共
FB2BAD1A4A4B0D0485199AFEF8B8BA22	FCB006D269286E4B56BF09020653CE79	反共
FB2BAD1A4A4B0D0485199AFEF8B8BA22	FE384EB133C7B0C035D87A6B2FA18074	反共
6BE6A327011BAC34BD9456B0913584CD	2A4308615D32DC496F5465AB5FF977C4	反共
D1E378F00B40AE4E0D5417F0698C7396	446DF62F075FA663767D87CC662E83C8	6事件
1B8E799F01DF0437F91A425A90608A30	B6C95E005C47B9820712B62B9D44E90A	反共
8A84C25572B41F7D653E72F9B32BA48A	E746E1F7EA522EE29688BA38D622B980	反革命分子
5B1FC62261696CAD21781F6FC5A2A23E	112B3F770926CF42BA0AE291377585CC	反共
F472094A92E8F412F4827AEAB2B8F409	2037466E2E98CF7C5D6EF9089E5CC97F	反共
C6489DE8BF71E85CADB80D10832B583F	DA9E8E76169338E0D438E4116B636545	反革命分子
FFAF8674F13EEC5DD28F03A83CF93CEA	03058A1949A208A14815129001BD54B4	64节
FFAF8674F13EEC5DD28F03A83CF93CEA	0622BADA7F5CC1712D39F14A4C071FA1	64坦克
FFAF8674F13EEC5DD28F03A83CF93CEA	63DA12F6662673012CB8694001673A2E	64坦克
D4D8265A976879099F0D1A75D069822D	4771F43107CA33D84460DC9BBB280B68	学生造反
D4D8265A976879099F0D1A75D069822D	6DEF9D90873769AF3ACE260BC3581316	反共
DEFB20AA1C0556117A4530C3742C3C1F	01BAA58D6A61F7FF7E9C77C13D67EC1B	反共
DEFB20AA1C0556117A4530C3742C3C1F	28BBDC8901D9F933567ECDAE83BFAC03	反共
DEFB20AA1C0556117A4530C3742C3C1F	553F04B93FCF5353207EA1D0B9D51A77	反共
DEFB20AA1C0556117A4530C3742C3C1F	775D0ADC507949FB64273A05DB40A731	反共
DEFB20AA1C0556117A4530C3742C3C1F	88E0B9134E21524C5DFDD0C88F63005B	反共
DEFB20AA1C0556117A4530C3742C3C1F	92A8A9A1C3B2468527D556A497C2D33C	反共
DEFB20AA1C0556117A4530C3742C3C1F	B171212D88F8B6F4CD8BE17516A7B069	反共
749B5E0AAA8F17733993A071329BCB93	7CA9FCA5ACE5B4461A5BE157E520295F	反革命分子
6C3CCA76350D68BBFEB380D7AABE391E	2ED3FC816D50891D3D08FCC4D3AA659E	天安门广场
